week,country,region,sub_region,cases,deaths
2020-02-24,Luxembourg,Luxembourg,Luxembourg,0,0
2020-03-02,Luxembourg,Luxembourg,Luxembourg,0,0
2020-03-09,Luxembourg,Luxembourg,Luxembourg,0,0
2020-03-16,Luxembourg,Luxembourg,Luxembourg,699,7
2020-03-23,Luxembourg,Luxembourg,Luxembourg,1024,14
2020-03-30,Luxembourg,Luxembourg,Luxembourg,627,15
2020-04-06,Luxembourg,Luxembourg,Luxembourg,295,26
2020-04-13,Luxembourg,Luxembourg,Luxembourg,182,13
2020-04-20,Luxembourg,Luxembourg,Luxembourg,98,13
2020-04-27,Luxembourg,Luxembourg,Luxembourg,63,8
2020-05-04,Luxembourg,Luxembourg,Luxembourg,42,5
2020-05-11,Luxembourg,Luxembourg,Luxembourg,38,5
2020-05-18,Luxembourg,Luxembourg,Luxembourg,38,3
2020-05-25,Luxembourg,Luxembourg,Luxembourg,16,1
2020-06-01,Luxembourg,Luxembourg,Luxembourg,13,0
2020-06-08,Luxembourg,Luxembourg,Luxembourg,24,0
2020-06-15,Luxembourg,Luxembourg,Luxembourg,41,0
2020-06-22,Luxembourg,Luxembourg,Luxembourg,127,0
2020-06-29,Luxembourg,Luxembourg,Luxembourg,250,0
2020-07-06,Luxembourg,Luxembourg,Luxembourg,346,1
2020-07-13,Luxembourg,Luxembourg,Luxembourg,580,0
2020-07-20,Luxembourg,Luxembourg,Luxembourg,582,1
2020-07-27,Luxembourg,Luxembourg,Luxembourg,438,6
2020-08-03,Luxembourg,Luxembourg,Luxembourg,297,4
2020-08-10,Luxembourg,Luxembourg,Luxembourg,205,2
2020-08-17,Luxembourg,Luxembourg,Luxembourg,271,0
2020-08-24,Luxembourg,Luxembourg,Luxembourg,288,0
2020-08-31,Luxembourg,Luxembourg,Luxembourg,281,0
2020-09-07,Luxembourg,Luxembourg,Luxembourg,283,1
2020-09-14,Luxembourg,Luxembourg,Luxembourg,671,0
2020-09-21,Luxembourg,Luxembourg,Luxembourg,460,0
2020-09-28,Luxembourg,Luxembourg,Luxembourg,549,2
2020-10-05,Luxembourg,Luxembourg,Luxembourg,805,6
2020-10-12,Luxembourg,Luxembourg,Luxembourg,1280,2
2020-10-19,Luxembourg,Luxembourg,Luxembourg,3390,12
2020-10-26,Luxembourg,Luxembourg,Luxembourg,4709,14
2020-11-02,Luxembourg,Luxembourg,Luxembourg,4133,38
2020-11-09,Luxembourg,Luxembourg,Luxembourg,4005,39
2020-11-16,Luxembourg,Luxembourg,Luxembourg,3851,40
2020-11-23,Luxembourg,Luxembourg,Luxembourg,3562,53
2020-11-30,Luxembourg,Luxembourg,Luxembourg,3796,39
2020-12-07,Luxembourg,Luxembourg,Luxembourg,3420,45
2020-12-14,Luxembourg,Luxembourg,Luxembourg,2680,39
2020-12-21,Luxembourg,Luxembourg,Luxembourg,1267,39
2020-12-28,Luxembourg,Luxembourg,Luxembourg,967,15
2021-01-04,Luxembourg,Luxembourg,Luxembourg,1204,36
2021-01-11,Luxembourg,Luxembourg,Luxembourg,856,20
2021-01-18,Luxembourg,Luxembourg,Luxembourg,843,9
2021-01-25,Luxembourg,Luxembourg,Luxembourg,999,14
2021-02-01,Luxembourg,Luxembourg,Luxembourg,1140,14
2021-02-08,Luxembourg,Luxembourg,Luxembourg,1099,11
2021-02-15,Luxembourg,Luxembourg,Luxembourg,1249,16
2021-02-22,Luxembourg,Luxembourg,Luxembourg,938,9
2020-03-02,France,Lorraine,Meurthe-et-Moselle,10,
2020-03-02,France,Lorraine,Meuse,3,
2020-03-02,France,Lorraine,Moselle,25,
2020-03-02,France,Lorraine,Vosges,18,
2020-03-09,France,Lorraine,Meurthe-et-Moselle,169,
2020-03-09,France,Lorraine,Meuse,31,
2020-03-09,France,Lorraine,Moselle,567,
2020-03-09,France,Lorraine,Vosges,223,
2020-03-16,France,Lorraine,Meurthe-et-Moselle,169,
2020-03-16,France,Lorraine,Meuse,30,
